Quelle,Quelle-Id,Quelle-URL,Status,AnzeigeName,Title,Type-Id,Version,ZulassungStatus,ZulassungAb,ZulassungBis,AbgekündigtSeit,Release,Anwendung-Ids
Polarion,ML-119591,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119591,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_1.1.3,gemAnbT_Aktensystem_ePA,1.1.3,endOfLife,2020-03-03,2020-06-26,,R3.1.3,
Polarion,ML-119592,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119592,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_1.1.4,gemAnbT_Aktensystem_ePA,1.1.4,endOfLife,2020-06-26,2020-09-09,,R3.1.3 Hotfix 2,
Polarion,ML-119572,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119572,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_1.1.5,gemAnbT_Aktensystem_ePA,1.1.5,endOfLife,2020-09-09,2022-02-02,,R3.1.3 Hotfix 3,
Polarion,ML-120660,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120660,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_2.1.0,gemAnbT_Aktensystem_ePA,2.1.0,endOfLife,2021-02-19,2021-06-02,,R4.0.2,
Polarion,ML-121707,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-121707,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_2.3.0,gemAnbT_Aktensystem_ePA,2.3.0,endOfLife,2021-07-09,2021-09-02,,ePA 2.0.4,
Polarion,ML-124029,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-124029,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_2.4.0,gemAnbT_Aktensystem_ePA,2.4.0,valid,2021-09-02,2022-02-02,,Konnektor-Maintenance-21.5,ML-126570
Polarion,ML-127025,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-127025,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_2.5.0,gemAnbT_Aktensystem_ePA,2.5.0,endOfLife,2022-02-02,2022-02-14,,Release ePA 2.1.0,
Polarion,ML-126512,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126512,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_2.5.1,gemAnbT_Aktensystem_ePA,2.5.1,valid,2022-02-14,2022-03-31,,TI_Baseline_2022-1,ML-126569
Polarion,ML-129194,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-129194,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_2.5.2,gemAnbT_Aktensystem_ePA,2.5.2,approvable,2022-03-31,,,Release ePA 2.1.1,
Polarion,ML-129588,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-129588,final,Anbieter Aktensystem ePA,gemAnbT_Aktensystem_ePA_ATV_2.50.0,gemAnbT_Aktensystem_ePA,2.50.0,approvable,2022-04-14,,,Release ePA 2.5.0,
Polarion,ML-125331,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-125331,final,Anbieter Anschlusspunkt am SGW,gemAnbT_AS_ATV_1.0.0,gemAnbT_AS,1.0.0,endOfLife,2021-10-11,2022-02-02,,Release WANDA 1.0.0,ML-126577
Polarion,ML-126896,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126896,final,Anbieter Anschlusspunkt am SGW,gemAnbT_AS_ATV_1.0.1,gemAnbT_AS,1.0.1,endOfLife,2022-01-24,2022-02-17,,CI_Maintenance_21.2,
Polarion,ML-126533,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126533,final,Anbieter Anschlusspunkt am SGW,gemAnbT_AS_ATV_1.0.2,gemAnbT_AS,1.0.2,approvable,2022-02-18,,,TI_Baseline_2022-1,ML-126577
Polarion,ML-119583,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119583,final,Anbieter Basis-Consumer,gemAnbT_Basis-Consumer_ATV_1.0.2,gemAnbT_Basis-Consumer,1.0.2,endOfLife,2019-10-09,2021-08-06,,R3.1.2,
Polarion,ML-119585,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119585,final,Anbieter Basis-Consumer,gemAnbT_Basis-Consumer_ATV_1.1.0,gemAnbT_Basis-Consumer,1.1.0,valid,2020-06-30,2022-02-18,,R4.0.0,
Polarion,ML-122824,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-122824,final,Anbieter Basis-Consumer,gemAnbT_Basis-Consumer_ATV_1.2.0,gemAnbT_Basis-Consumer,1.2.0,valid,2021-08-06,2022-02-18,,Consumer-Maintenance Paket 1,
Polarion,ML-127268,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-127268,final,Anbieter Basis-Consumer,gemAnbT_Basis-Consumer_ATV_1.2.1,gemAnbT_Basis-Consumer,1.2.1,approvable,2022-02-18,,,Consumer-Maintenance Paket 2,ML-126565||ML-126566
