Quelle,Quelle-Id,Quelle-URL,Status,Title
Polarion,ML-126564,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126564,open,E-Rezept 1.0
Polarion,ML-126571,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126571,open,eMP/AMTS
Polarion,ML-126568,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126568,open,ePA 1.1
Polarion,ML-126569,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126569,open,ePA 2.0
Polarion,ML-129652,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-129652,open,ePA 2.5
Polarion,ML-126565,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126565,open,KIM 1.0
Polarion,ML-126566,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126566,open,KIM 1.5
Polarion,ML-126567,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126567,open,NFDM
Polarion,ML-126576,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126576,open,TIM 1.0
Polarion,ML-126570,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126570,open,VSDM
Polarion,ML-126577,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126577,open,WANDA
