Quelle,Quelle-Id,Quelle-URL,Status,Type-Id,TI-Betrieb-Ids,AnzeigeName,Team-Id
Polarion,ML-119362,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119362,done,gemProdT_Aktensystem_ePA,PDT43,ePA-Aktensystem,ML-123394
Polarion,ML-119365,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119365,done,gemProdT_Basis-Consumer,PDT45,Basis-Consumer,ML-123390
Polarion,ML-119348,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119348,done,gemProdT_CM_KOMLE,PDT27,Clientmodul KOM-LE,ML-123395
Polarion,ML-119300,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119300,done,gemProdT_COS,,Zulassungsobjekt COS,ML-123391
Polarion,ML-119318,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119318,done,gemProdT_CVC_Root_ECC,PDT32,CVC-Root – ECC,ML-123389
Polarion,ML-119319,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119319,done,gemProdT_CVC_TSP,PDT31,Trust Service Provider CVC,ML-123389
Polarion,ML-119301,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119301,done,gemProdT_eGK_ObjSys,,Zulassungsobjekt eGK-Objektsystem,ML-123391
Polarion,ML-119310,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119310,done,gemProdT_eGK_ObjSys_G2_1,,Zulassungsobjekt eGK-Objektsystem G2.1,ML-123391
Polarion,ML-119303,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119303,done,gemProdT_eGK_PersVal,,Bestätigungsgegenstand Personalisierungsvalidierung eGK (G2),ML-123391
Polarion,ML-119312,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119312,done,gemProdT_eGK_PersVal_G2_1,,Bestätigungsgegenstand Personalisierungsvalidierung eGK G2.1,ML-123391
Polarion,ML-119302,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119302,done,gemProdT_eGK_Sich,,Bestätigungsgegenstand Sicherheit für die Herausgabe- und Nutzungsprozesse der eGK (G2),ML-123391
Polarion,ML-119311,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119311,done,gemProdT_eGK_Sich_G2_1,,Bestätigungsgegenstand Sicherheit für die Herausgabe- und Nutzungsprozesse der eGK G2.1,ML-123391
Polarion,ML-119363,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119363,done,gemProdT_ePA_FdV,PDT44,ePA-Frontend des Versicherten,ML-123394
Polarion,ML-119382,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119382,done,gemProdT_eRp_AdV,PDT58,E-Rezept-Anwendungen des Versicherten,ML-123396
Polarion,ML-120817,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120817,done,gemProdT_eRp_APOVZD,PDT59,Apothekenverzeichnis,ML-123396
Polarion,ML-119379,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119379,done,gemProdT_eRp_FD,PDT50,E-Rezept-Fachdienst,ML-123396
Polarion,ML-119381,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119381,done,gemProdT_eRp_FdV,PDT51,E-Rezept-Frontend des Versicherten,ML-123396
Polarion,ML-119347,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119347,done,gemProdT_FD_KOMLE,PDT24,Fachdienst KOM-LE,ML-123395
Polarion,ML-119345,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119345,done,gemProdT_FD_VSDM,PDT20||PDT23||PDT26,Fachdienste VSDM,ML-123398
Polarion,ML-119391,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119391,done,gemProdT_FD_VSDM_nonGKV,PDT61||PDT62||PDT63,Fachdienste VSDM nonGKV,ML-123398
Polarion,ML-119351,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119351,done,gemProdT_gematik_Root_CA,PDT22,gematik Root-CA,ML-123389
Polarion,ML-119308,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119308,done,gemProdT_gSMC-K_ObjSys,,Zulassungsobjekt gSMC-K-Objektsystem,ML-123391
Polarion,ML-119309,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119309,done,gemProdT_gSMC-KT_ObjSys,,Zulassungsobjekt gSMC-KT-Objektsystem,ML-123391
Polarion,ML-119317,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119317,done,gemProdT_gSMC-KT_ObjSys_G2_1,,Zulassungsobjekt gSMC-KT-Objektsystem G2.1,ML-123391
Polarion,ML-119305,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119305,done,gemProdT_HBA,PDT13,HBA (personalisiert),ML-123391
Polarion,ML-119314,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119314,done,gemProdT_HBA_G2_1,PDT39,HBA G2.1 (personalisiert),ML-123391
Polarion,ML-119313,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119313,done,gemProdT_HBA_ObjSys_G2_1,,Zulassungsobjekt HBA-Objektsystem G2.1,ML-123391
Polarion,ML-120816,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120816,done,gemProdT_IDP-AuthModul,PDT53,Identity Provider - Authentisierungsmodul,ML-123392
Polarion,ML-119384,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119384,done,gemProdT_IDP-Dienst,PDT52,Identity Provider - Dienst,ML-123392
Polarion,ML-124041,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-124041,verified-done,gemProdT_IDP-Sek,PDT68,Sektoraler Identity Provider,ML-123392
Polarion,ML-126788,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-126788,open,gemProdT_IDP_FedMaster,,Federation Master,ML-123392
